produto;id_produto;nom_municipio;cod_ibge;uf;num_ano;num_mes;conta_operacional;qtd_estoque_kg
ARROZ                    ;4693;ANANINDEUA-PA                                     ;1500800                       ;PA        ;2022;1;ESTRATÉGIC;660,0
ARROZ                    ;4693;ANANINDEUA-PA                                     ;1500800                       ;PA        ;2022;1;ESTRATÉGIC;1060,0
ARROZ                    ;4693;CACHOEIRO DE ITAPEMIRIM-ES                        ;3201209                       ;ES        ;2022;1;ESTRATÉGIC;30900,0
ARROZ                    ;4693;CACHOEIRO DE ITAPEMIRIM-ES                        ;3201209                       ;ES        ;2022;1;ESTRATÉGIC;20100,0
ARROZ                    ;4693;MARACANAÚ-CE                                      ;2307650                       ;CE        ;2022;1;ESTRATÉGIC;268500,0
ARROZ                    ;4693;IMPERATRIZ-MA                                     ;2105302                       ;MA        ;2022;1;ESTRATÉGIC;50010,0
ARROZ                    ;4693;ANANINDEUA-PA                                     ;1500800                       ;PA        ;2022;1;ESTRATÉGIC;210,0
ARROZ                    ;4693;CRATEÚS-CE                                        ;2304103                       ;CE        ;2022;1;ESTRATÉGIC;138960,0
ARROZ                    ;4693;ANANINDEUA-PA                                     ;1500800                       ;PA        ;2022;1;ESTRATÉGIC;7060,0
ARROZ                    ;4693;IMPERATRIZ-MA                                     ;2105302                       ;MA        ;2022;1;ESTRATÉGIC;100020,0
ARROZ                    ;4693;ANANINDEUA-PA                                     ;1500800                       ;PA        ;2022;1;ESTRATÉGIC;1510,0
