BR;UF ;Tipo de trecho;Código;Local de Início;Local de Fim;km inicial;km final;Extensão;Superfície Federal;Obras;Federal Coincidente;Administração;Ato legal;Estadual Coincidente;Superfície Est. Coincidente;Jurisdição;Superfície;Unidade Local
010;DF;Eixo Principal;010BDF0010;ENTR BR-020(A)/030(A)/450/DF-001 (BRASÍLIA);ENTR DF-440;0;2,4;2,4;DUP;;"010BDF0010;020BDF0010;030BDF0010";Convênio de Administração;;;;Federal;PAV;Brasília
010;DF;Eixo Principal;010BDF0015;ENTR DF-440;ACESSO I SOBRADINHO;2,4;6;3,6;DUP;;"010BDF0015;020BDF0015;030BDF0015";Convênio de Administração;;;;Federal;PAV;Brasília
010;DF;Eixo Principal;010BDF0016;ACESSO I SOBRADINHO;ACESSO II SOBRADINHO;6;8,3;2,3;DUP;;"010BDF0016;020BDF0016;030BDF0016";Convênio de Administração;;;;Federal;PAV;Brasília
010;DF;Eixo Principal;010BDF0018;ACESSO II SOBRADINHO;ENTR DF-230;8,3;18,2;9,9;DUP;;"010BDF0018;020BDF0018;030BDF0018";Convênio de Administração;;;;Federal;PAV;Brasília
010;DF;Eixo Principal;010BDF0020;ENTR DF-230;ENTR DF-128;18,2;22;3,8;DUP;;"010BDF0020;020BDF0020;030BDF0020";Convênio de Administração;;;;Federal;PAV;Brasília
010;DF;Eixo Principal;010BDF0022;ENTR DF-128;P/PLANALTINA;22;25;3;DUP;;"010BDF0022;020BDF0022;030BDF0022";Convênio de Administração;;;;Federal;PAV;Brasília
010;DF;Eixo Principal;010BDF0030;P/PLANALTINA;ENTR BR-020(B)/030(B)/DF-345(A);25;34;9;DUP;;"010BDF0030;020BDF0030;030BDF0030";Federal;;;;Federal;PAV;Brasília
010;DF;Eixo Principal;010BDF0050;ENTR BR-020(B)/030(B)/DF-345(A);ENTR VICINAL-111;34;38,1;4,1;PLA;;010BDF0050;Distrital;;DF-345;PAV;Distrital;PLA;
010;DF;Eixo Principal;010BDF0052;ENTR VICINAL-111;ENTR DF-205;38,1;42,7;4,6;PLA;;010BDF0052;Distrital;;DF-345;PAV;Distrital;PLA;
010;DF;Eixo Principal;010BDF0070;ENTR DF-205;ENTR DF-345(B) (DIV DF/GO);42,7;45;2,3;PLA;;010BDF0070;Distrital;;DF-345;PAV;Distrital;PLA;
010;GO;Eixo Principal;010BGO0090;ENTR GO-118(A) (DIV DF/GO);ENTR GO-430(A);0;5,5;5,5;PLA;;010BGO0090;Estadual;;GO-118;PAV;Estadual;PLA;
010;GO;Eixo Principal;010BGO0095;ENTR GO-430(A);ENTR GO-430(B) (P/PLANALTINA);5,5;9;3,5;PLA;;010BGO0095;Estadual;;GO-118;PAV;Estadual;PLA;
010;GO;Eixo Principal;010BGO0110;ENTR GO-430(B) (P/PLANALTINA);SÃO GABRIEL DE GOIÁS;9;32;23;PLA;;010BGO0110;Estadual;;GO-118;PAV;Estadual;PLA;
010;GO;Eixo Principal;010BGO0120;SÃO GABRIEL DE GOIÁS;ENTR GO-230;32;38,2;6,2;PLA;;010BGO0120;Estadual;;GO-118;PAV;Estadual;PLA;
010;GO;Eixo Principal;010BGO0125;ENTR GO-230;ENTR GO-237;38,2;66,8;28,6;PLA;;010BGO0125;Estadual;;GO-118;PAV;Estadual;PLA;
010;GO;Eixo Principal;010BGO0130;ENTR GO-237;INÍCIO PERÍMETRO URB SÃO JOÃO D ALIANÇA;66,8;92,9;26,1;PLA;;010BGO0130;Estadual;;GO-118;PAV;Estadual;PLA;
010;GO;Eixo Principal;010BGO0135;INÍCIO PERÍMETRO URB SÃO JOÃO D ALIANÇA;FIM PERÍMETRO URB SÃO JOÃO D ALIANÇA;92,9;94,5;1,6;PLA;;010BGO0135;Estadual;;GO-118;DUP;Estadual;PLA;
010;GO;Eixo Principal;010BGO0140;FIM PERÍMETRO URB SÃO JOÃO D ALIANÇA;ENTR GO-236;94,5;105,9;11,4;PLA;;010BGO0140;Estadual;;GO-118;PAV;Estadual;PLA;
010;GO;Eixo Principal;010BGO0150;ENTR GO-236;ENTR GO-239(A) (ALTO PARAÍSO DE GOIÁS);105,9;161,3;55,4;PLA;;010BGO0150;Estadual;;GO-118;PAV;Estadual;PLA;
