id_subsistema;nom_subsistema;din_instante;val_cargaenergiamwmed
N;Norte;2024-01-01;6532.98604167
NE;Nordeste;2024-01-01;11658.74008333
S;Sul;2024-01-01;10472.40329167
SE;Sudeste/Centro-Oeste;2024-01-01;35089.38670833
N;Norte;2024-01-02;7154.33433333
NE;Nordeste;2024-01-02;12642.99208333
S;Sul;2024-01-02;12956.08525
SE;Sudeste/Centro-Oeste;2024-01-02;41347.51754167
N;Norte;2024-01-03;7160.81108333
NE;Nordeste;2024-01-03;13147.95679167
S;Sul;2024-01-03;13443.96695833
SE;Sudeste/Centro-Oeste;2024-01-03;44219.5455
N;Norte;2024-01-04;7281.33133333
NE;Nordeste;2024-01-04;13448.05870833
S;Sul;2024-01-04;13904.14791667
SE;Sudeste/Centro-Oeste;2024-01-04;43571.44904167
N;Norte;2024-01-05;7307.109875
NE;Nordeste;2024-01-05;13562.10008333
S;Sul;2024-01-05;13813.90220833
